CODE	TIME	STATIONCODE	INNUM	OUTNUM	TRANNUM	GETONPED	GETOFFPED	GETONNUM	GETONTIME	GETONWAITTIME	TRANINNUM	TRANINTIME	TRANINWAITTIME	RESOURCENUM	GETOFFTIME	AVGSTANUM	MAXSTANUM	AVGPLATNUM	MAXPLATNUM	AVGLIMITNUM	MAXLIMITNUM
20150327	6:10:00	义和庄	20	0		04932P040:24		4号线(大兴线)上:24	4号线(大兴线)上:352	4号线(大兴线)上:170				4号线(大兴线)上:1		18	39	4号线(大兴线)上:9	4号线(大兴线)上:26	0	0
20150327	6:10:00	生物医药基地	10	0		04932P040:18;04932P042:10		4号线(大兴线)上:28	4号线(大兴线)上:338	4号线(大兴线)上:155				4号线(大兴线)上:1		8	26	4号线(大兴线)上:4	4号线(大兴线)上:20	0	0
20150327	6:10:00	天宫院	50	0		04932P042:34		4号线(大兴线)上:34	4号线(大兴线)上:250	4号线(大兴线)上:73				4号线(大兴线)上:1		52	91	4号线(大兴线)上:32	4号线(大兴线)上:61	0	0
20150327	6:10:00	天通苑北	266	18		051016:221		5号线下:221	5号线下:305	5号线下:125				5号线下:1		217	439	5号线下:101	5号线下:247	0	0
20150327	6:30:00	平安里	40	38	6号线下/4号线(大兴线)下:2;6号线上/4号线(大兴线)下:37;6号线下/4号线(大兴线)上:3;6号线上/4号线(大兴线)上:8;4号线(大兴线)上/6号线下:5;4号线(大兴线)下/6号线下:8;4号线(大兴线)下/6号线上:4	061014:13;062009:78;04931Q025:17;04932P024:5	061014:18;062009:13;04931Q025:30;04932P024:12	6号线下:8;6号线上:10;4号线(大兴线)下:8;4号线(大兴线)上:3	6号线下:391;6号线上:384;4号线(大兴线)下:333;4号线(大兴线)上:321	6号线下:210;6号线上:205;4号线(大兴线)下:156;4号线(大兴线)上:127	6号线下:5;6号线上:68;4号线(大兴线)下:9;4号线(大兴线)上:2	6号线下:321;6号线上:349;4号线(大兴线)下:265;4号线(大兴线)上:376	6号线下:76;6号线上:102;4号线(大兴线)下:223;4号线(大兴线)上:224	6号线下:1;6号线上:1;4号线(大兴线)下:1;4号线(大兴线)上:1		85	152	4号线(大兴线)下:9;4号线(大兴线)上:3;6号线下:6;6号线上:24	4号线(大兴线)下:22;4号线(大兴线)上:11;6号线下:18;6号线上:79	0	0
20150327	6:30:00	西四	30	13		04932P024:2;04932P026:6;04931Q025:7	04932P024:10;04932P026:9;04931Q025:5	4号线(大兴线)上:8;4号线(大兴线)下:7	4号线(大兴线)上:297;4号线(大兴线)下:309	4号线(大兴线)上:109;4号线(大兴线)下:128				4号线(大兴线)上:1;4号线(大兴线)下:1		20	41	4号线(大兴线)下:3;4号线(大兴线)上:2	4号线(大兴线)下:9;4号线(大兴线)上:7	0	0
20150327	6:30:00	灵境胡同	28	21		04931Q023:9;04932P026:3	04931Q023:7;04932P026:6	4号线(大兴线)下:9;4号线(大兴线)上:3	4号线(大兴线)下:381;4号线(大兴线)上:299	4号线(大兴线)下:200;4号线(大兴线)上:125				4号线(大兴线)下:1;4号线(大兴线)上:1		21	41	4号线(大兴线)下:3;4号线(大兴线)上:1	4号线(大兴线)下:11;4号线(大兴线)上:5	0	0
20150327	6:30:00	菜市口	60	26		04932P028:8;04931Q021:9;04932P030:15	04932P028:16;04931Q021:10;04932P030:25	4号线(大兴线)上:23;4号线(大兴线)下:9	4号线(大兴线)上:287;4号线(大兴线)下:396	4号线(大兴线)上:115;4号线(大兴线)下:212				4号线(大兴线)上:1;4号线(大兴线)下:1		43	85	4号线(大兴线)下:4;4号线(大兴线)上:7	4号线(大兴线)下:13;4号线(大兴线)上:19	0	0
20150327	6:30:00	陶然亭	134	48		04932P030:41;04931Q021:12	04932P030:24;04931Q021:15	4号线(大兴线)上:41;4号线(大兴线)下:12	4号线(大兴线)上:303;4号线(大兴线)下:381	4号线(大兴线)上:125;4号线(大兴线)下:201				4号线(大兴线)上:1;4号线(大兴线)下:1		91	173	4号线(大兴线)下:6;4号线(大兴线)上:26	4号线(大兴线)下:16;4号线(大兴线)上:68	0	0
20150327	6:30:00	北京南站	91	172		04931Q019:7;04932P032:34	04931Q019:138;04932P032:43	4号线(大兴线)下:7;4号线(大兴线)上:34	4号线(大兴线)下:378;4号线(大兴线)上:308	4号线(大兴线)下:203;4号线(大兴线)上:130				4号线(大兴线)下:1;4号线(大兴线)上:1		118	243	4号线(大兴线)下:3;4号线(大兴线)上:19	4号线(大兴线)下:9;4号线(大兴线)上:40	0	0
20150327	6:30:00	马家堡	140	6		04932P032:46;04931Q019:5;04932P034:63	04932P032:2;04931Q019:4;04932P034:2	4号线(大兴线)上:109;4号线(大兴线)下:5	4号线(大兴线)上:284;4号线(大兴线)下:401	4号线(大兴线)上:106;4号线(大兴线)下:220				4号线(大兴线)上:1;4号线(大兴线)下:1		75	164	4号线(大兴线)下:2;4号线(大兴线)上:21	4号线(大兴线)下:5;4号线(大兴线)上:69	0	0
20150327	6:05:00	沙河高教园	24	0		941006:36		昌平线下:36	昌平线下:494	昌平线下:312				昌平线下:1		24	58	昌平线下:13	昌平线下:40	0	0
20150327	6:05:00	沙河	126	2		942003:2;941006:212	942003:2;941006:1	昌平线上:2;昌平线下:212	昌平线上:660;昌平线下:485	昌平线上:490;昌平线下:306				昌平线上:1;昌平线下:1		153	312	昌平线下:99;昌平线上:1	昌平线下:234;昌平线上:3	0	0
20150327	6:05:00	巩华城	0	0												6	10	昌平线下:5;昌平线上:0	昌平线下:9;昌平线上:1	0	0
20150327	6:05:00	生命科学园	70	0		942004:8	942004:1	昌平线上:8	昌平线上:537	昌平线上:360				昌平线上:1		81	147	昌平线下:48;昌平线上:3	昌平线下:104;昌平线上:8	0	0
20150327	6:05:00	大葆台	20	3		952003:39;951003:3	952003:3	房山线上:39;房山线下:3	房山线上:490;房山线下:275	房山线上:313;房山线下:90				房山线上:1;房山线下:1		23	59	房山线下:0;房山线上:11	房山线下:3;房山线上:42	0	0
20150327	6:05:00	稻田	20	0		951002:3;952004:19		房山线下:3;房山线上:19	房山线下:1001;房山线上:327	房山线下:825;房山线上:149				房山线下:1;房山线上:1		17	34	房山线下:0;房山线上:8	房山线下:3;房山线上:21	0	0
20150327	6:05:00	长阳	52	1												70	127	房山线下:12;房山线上:36	房山线下:19;房山线上:78	0	0
20150327	6:05:00	篱笆房	17	0												25	44	房山线上:17	房山线上:34	0	0
20150327	6:05:00	广阳城	18	0		952005:21	952005:1	房山线上:21	房山线上:370	房山线上:189				房山线上:1		17	36	房山线上:9	房山线上:23	0	0
